ID,numericalData,numericalDataType,textData,fileData
73,,,"ЯРЕНСКЪ, съ 1780 году городъ Вологодскаго Намѣстничества. Въ ономъ бываетъ въ году одинъ небольшой торгъ Генваря отъ 18 по 23 день раз-ными мѣлочными товарами, на которой пріѣзжаютъ купцы изъ Устюга Великаго, Вологды и Соли-Вычегодской.",
74,,,"АНАЕВО, село Тамбовскаго Намѣстничества около посада Кадома; здѣсь одна бываетъ ярмарка въ году, на которую пріѣзжаютъ купцы изъ ближнихъ городовъсъ шелковыми , бумажными и другими мѣдочными товарами.",
75,,,"АТЕМАРЪ, село Пензенскаго Намѣстничества въ Саранскомъ уѣздѣ. Здѣсь бываетъ ярмарка въ послѣднихъ числахъ Іюля мѣсяца; привозятъ купцы разные мѣлочные шелковые товары.",
76,,,"АТКАРСКЪ, городъ Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ Терсѣ и Болондѣ торж-к и, гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.",
77,,,"БАРЫШЕВКА, мѣстечко Кіевскаго Намѣстничества въ Переяславскомъ уѣздѣ. Въ ономъ бываютъ въ году три ярмарки: первая Генваря 1, вторая Маія 9, третія Сентября 11 чиселъ, на которыхъ купцы торгуютъ разными мѣлочными товарами и привозимою изъ Донскихъ станицъ мѣлкою рыбою; а жители продаютъ рогатой скотъ, лошадей, хлѣбъ, смолу , горячее вино и Крымскую соль.",
78,,,"БАТУРИНЪ, мѣстечко Новогородскаго - Сѣверскаго Намѣстничества въ Нѣжинскомъ уѣздѣ. Здѣсь бываетъ въ году четыре ярмарки.",
79,,,"БЕРЕЗНИКИ, село въ Саратовскомъ Намѣстничествѣ и уѣздѣ. Здесь бываетъ ярмарка въ послѣднихъ числахъ Іюля; привозятъ на оную купцы разные мѣлочные шелковые товары.",
80,,,"БИЛЯРСКЪ, пригородъ Казанскаго Намѣстничества. Каждую недѣлю въ одинъ назначенной день бываетъ здѣсь базаръ, куда съѣзжаются жители всѣхъ около лежащихъ мѣстъ; привозятъ на торжище всѣ свои домашнія рукодѣлія, коими они избыточествуютъ. Для купцовъ, на торгъ сей пріѣзжающихъ, сдѣлано нѣсколько деревянныхъ лавокъ, въ которыхъ продаютъ они все нужное для земледѣльцевъ.",
81,,,"БИРЖА, мѣстечко Полотскаго Намѣстничества въ Динабургскомъ уѣздѣ. Въ семъ мѣстѣ бываетъ въ году одна ярмарка; торгуютъ Рижскаго дворца крестьяне разными мѣлочными товарами , виномъ и пивомъ.",
82,,,"БОБРОВИЦА , мѣстечко Кіевскаго Намѣстничества и уѣзду. Въ ономъ мѣстечкѣ бываетъ въ году двѣ ярмарки.",
83,,,"БОГОДУХОВЪ, городъ Харьковскаго Намѣстничества. Въ ономъ бываетъ въ году шесть ярмарокъ: первая на Сырной недѣлѣ , вторая въ постъ на похвальной недѣлѣ, третія на Вознесеніе , четвертая Іюля 20, пятая Августа 29, шестая Ноября Купцы пріѣзжаютъ на оныя изъ разныхъ Россійскихъ городовъ; привозятъ шелковые товары , парчи , позументы золотые и серебро въ дѣлѣ ; торгуютъ также скотомъ, лошадьми и прочимъ.",
84,,,"БОРЗНА , городъ Черниговскаго Намѣстничества. Въ ономъ городѣ бываетъ въ году три ярмарки.",
85,,,"БОРИСОГЛѢБСКЪ , городъ Тамбовскаго Намѣстничества. Въ немъ бываетъ одна въ году Іюля 8 дня ярмарка, на коей торгуютъ три дни пріѣзжающіе изъ ближнихъ городовъ купцы большею частію мѣлочными товарами.",
86,,,"БОРИСПОЛЬ, мѣстечко Кіевскаго Намѣстничества въ Переяславскомъ уѣздѣ. Въ немъбываютъ въ году три ярмарки, на коихъ пріѣзжіе изъ окольныхъ тамошнихъ мѣстъ торгуютъ разнымъ хлѣбомъ, мѣлочнымъ товаромъ, рыбою, солью, скотомъ и проч.",
87,,,"БОРОВЕНКИ, мѣстечко Екатеринославскаго Намѣстничества. Въ немъ бываютъ въ году три ярмарки.",
88,,,"БРОННИЦЫ, городъ Московской Губерніи. Въ немъ, кромѣ еженедѣльныхъ по понедѣльникамъ и пятницамъ торговъ, назначена Сентября 6 годовая ярмарка.",
89,,,"БРЯНСКЪ , городъ Орловскаго Намѣстничества. Въ семъ городѣ бываетъ въ году ярмарка въ Іюнѣ мѣсяцѣ въ десятую пятницу по Пасхѣ; да близъ города Свинская, начинающаяся съ Сентября, и продолжающаяся по Октябрь.",
90,,,"БУЧАЛКИ , село Тульскаго Намѣстничества въ Епифанскомъ уѣздѣ. Въ ономъ бываетъ ярмарка Іюня 26; купцы для торговъ пріѣзжаютъ изъ окрестныхъ городовъ съ различными товарами въ не большемъ количествѣ.",
91,,,"БѢЛАЯ КОЛПЬ, село Московской Губерніи въ Волоколамскомъ уѣздѣ. Въ семъ селѣ бываетъ одна въ году ярмарка Августа 19 дня; торгуютъ одинъ день разными крестьянскими товарами.",
92,,,"БѢЛОПОЛЬЕ, городъ Харьковскаго Намѣстничества. Въ ономъ бываютъ ярмарки: первая Генваря 6, вторая Іюня 24, третія Сентября 14 дня; торгуютъ на оныхъ разнымъ мѣлочнымъ товаромъ, лошадьми, скотомъ , горячимъ виномъ и проч.",
93,,,"ВАРВА, мѣстечко Черниговскаго Намѣстничества въ Прилуцкомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки : первая Маія 9, вторая Іюня 29, третія Ноября 1. На оныхъ торгуютъ окольные жители своими произрастѣніями, какъ - то хлѣбомъ , разнымъ скотомъ , съѣстными припасами , сѣномъ, дегтемъ и прочими мѣлочьми; здѣсь такжебываетъ и еженедѣльной торгъ въ среду.",
94,,,"ВАШКА , деревня Архангельскаго Намѣстничества въ Мезенскомъ уѣздѣ. Здѣсь бываетъ небольшая годовая ярмарка въ Генварѣ мѣсяцѣ, называемая Мезенская, на которую съ Волокопинежской ярмарки нѣкоторая чаешь мѣлочныхъ товаровъ переходитъ.",
95,,,"ВЕЙДЕЛЕВКА, слобода Воронежскаго Намѣстничества въ уѣздѣ города Валуекъ. Въ оной бываетъ въ году три ярмарки.",
96,,,"ВЕЛИЖЪ, городъ Полотскаго Намѣстничества. Въ семъ городѣ бываетъ въ году двѣ ярмарки : первая 2о Іюля , вторая на первой недѣлѣ великаго поста.",
97,,,"ВЕНДЕНЪ, городъ Рижскаго Намѣстничества. Здѣсь бываютъ въ году двѣ ярмарки: одна въ Ивановъ , а другая въ Михайловъ день; но оныя въ себѣ важнаго ничего не заключаютъ.",
98,,,"ВЕСІЕГОНСКЪ, городъ Тверскаго Намѣстничества. Бываетъ здѣсь одна ярмарка на праздникъ Богоявленія Господня; товары привозятся въ разныхъ званіяхъ, съѣстные и москотильные, также пушные и желѣзные и посуда мѣдная, оловян-ная и деревянная , кожаныя обуви, чулки гарусные и шерстяные.",
99,,,"ВОЛМАРЪ, городъ Рижскаго Намѣстничества. Въ немъ бываетъ ярмарка въ день Святыя Анны , продолжающаяся дни съ два, на которую и иностранные купцы пріѣзжаютъ съ товарами не въ большемъ количествѣ.",
100,,,"ВОРОНЕЖЪ, мѣстечко Черниговскаго Намѣстничества въ Нѣжинскомъ уѣздѣ. Здѣсь бываетъ въ году три ярмарки.",
101,,,"ВОРОНКОВЪ, мѣстечко Кіевскаго Намѣстничества въ Переяславскомъ уѣздѣ. Здѣсь бываетъ въ годъ одна ярмарка въ день Рождества Богородицы; торгуютъ на оныхъ изъ окольныхъ мѣстъ обыватели хлѣбомъ, съѣстными припасами, горячимъ виномъ, деревянною посудою и прочими мѣлочьми.",
102,,,"ВРЕВЪ, пригородъ Псковскаго Намѣстничества. Здѣсь бываетъ ярмарка въ день Николая Чудотворца , на которую пріѣзжаютъ изъ разныхъ мѣстъ съ мѣлочнымъ товаромъ.",
103,,,"ВЯЗНИКИ , городъ Володимерскаго Намѣстничества. Здѣсь бываетъ ярмарка въ праздникъ казанскія Пресвятыя Богородицы Іюля 3 дня.",
104,,,"ГДОВЪ, городъ Псковскаго Намѣстничества. Здѣсь бываетъ въ году одна ярмарка; торгуютъ лавочнымъ мѣлочнымъ товаромъ.",
105,,,"ГЛИНСКЪ , слобода Екатеринославскаго Намѣстничества. Въ оной бываетъ въ году три ярмарки.",
106,,,"ГОГОЛЕВЪ, мѣстечко Кіевскаго Намѣстничества и уѣзду. Здѣсь бываетъ въ году гари ярмарки; на оныя пріѣзжаютъ купцы изъ окольныхъ городовъ , торгуютъ хлѣбомъ , разнымъ мѣлочнымъ товаромъ, рыбою , солью , скотомъ и прочимъ.",
107,,,"ГОЛТВА , городъ того же Намѣстничества. Въ ономъ бываетъ въ годъ четыре ярмарки: первая Генваря 6, другая Іюля 29, третія Августа 6, четвертая Ноября 8; торгуютъ на оныхъ пріѣзжіе изъ уѣзду жители разными мѣлочными товарами тамъ родящимися, какъ-то хлѣбомъ, горячимъ виномъ, разнымъ скотомъ, дегтемъ, овчинами , кожами и прочимъ; иногда пріѣзжаютъ и Великороссійскіе купцы съ краснымъ товаромъ.",
108,,,"ГОРБАТОВЪ, городъ Нижегородскаго Намѣстничества. Въ немъ каждонедѣльно бываетъ по середамъ торгъ , на которой привозятъ крестьяне хлѣбъ и пеньку.",
109,,,"ГОРОШИНЪ, мѣстечко Кіевскаго Намѣстничества въ Лубенскомъ уѣздѣ. Здѣсь бываетъ въ годъ три ярмарки : первая Генваря 1 дня , вторая о проводахъ Свѣтлой седмицы , третія Сентябри 14 дня.",
110,,,"ГРЕМЯЧЕВЪ, слобода Тульскаго Намѣстничества въ Бѣлевскомъ уѣздѣ. Въ оной бываетъ двѣ годовыя ярмарки : первая въ день праздника Преполовенія, вторая въ первый день Петрова поста; на оныя пріѣзжаютъ купцы изъ ближнихъ городовъ съ разными мѣлочными для крестьянства товарами.",
111,,,"ГРИТЧИНО, село Тульскагу Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываетъ ярмарка въ день Сошествія Святаго Духа ; а на тое ярмарку товары въ продажу привозятся изъ Каширы, а по близости изъТулы, Серпухова, Венепа и Зарайска по малому числу москотильной мѣлочной и прочіе съѣстные припасы , а паче отъ обывателей уѣздныхъ въ продажѣ бываетъ пенька, медъ, воскъ и прочее деревянное издѣлье.",
112,,,"ГРЯЗНОЕ, КОЛЮПАНОВКА тожь, село Тульскаго Намѣстничества въ Алексинскомъ уѣздѣ. Въ ономъ бываешь ярмарка Іюля 8. Здѣсь торгуютъ купцы товарами , до . крестьянъ принадлежащими.",
113,,,"ГРЯЗОВЕЦЪ, городъ Вологодскаго Намѣстничества. Въ немъ собираются окольные поселяне для мѣлочнаго торгу всякой понедѣльникь , а всякой день торгуютъ съѣстными припасами для проѣзжающихъ; сверхъ сего обыватели онаго какъ мущины, такъ и женщины упражняются въ вязаніи чулковъ и варегъ для продажи въ розницу и на подрядъ.",
114,,,"ДАГДА , мѣстечко Полотскаго Намѣстничества въ Динабургскомъ уѣздѣ. Въ семъ мѣстѣ бываютъ въ году триярмарки ; торгуютъ Рижскаго Дворца крестьяне разными мѣлсчными товарами , виномъ и пивомъ.",
115,,,"ДВУРѢЧНАЯ, слобода Харьковскаго Намѣстничества въ Изюмскомъ уѣздѣ. Въ оной бываетъ въ году пять ярмарокъ : первая Генваря 1 на день",
116,,,"ДЕЙМАНОВКА , село Черниговскаго Намѣстничества въ Прилуцкомъ уѣздѣ. Бываетъ здѣсь въ году двѣ ярмарки, одна о десятой пятницѣ, а другая 2 Іюля, въ день Положенія честныя ризы Пресвятыя Богородицы , на коихъ торгуютъ окольные жители деревенскими произрастѣніями, какъ то хлѣбомъ , разнымъ скотомъ, съѣстными припасами, деревянною посудою и прочею крестьянскою мѣлочью.",
117,,,"ДОБРАЯ, слобода Воронежскаго Намѣстничества. Въ сей слободѣ въ году бываютъ три небольшія ярмарки: первая 9 Маія, вторая 26 Іюня, третія б Декабря, и продолжаются не болѣе какъ по одному, или по два Дни. Купцы на оныя привозятъ мѣлочные товары.",
118,,,"ДУШАТИНЪ , мѣстечко Новогородскаго - Сѣверскаго Намѣстничества въ Стародубовскомъ уѣздѣ. Въ ономъ бываетъ сверхъ еженедѣльныхъ торжковъ ярмарка, на которую пріѣзжаютъ жители города Мглина , и торгуютъ разными мѣлочными товарами.",
119,,,"ДѢДИНОВО, село Московской Губерніи въ уѣздѣ города Коломны. Въ немъ имѣется два ряда, изъ которыхъ въ одномъ торгуютъ сѣѣстными припасами, а въ другомъ въ бывающій еженедѣльно въ пятницу торгъ продается тамошнимъ обывателямъ привозимой изъ Коломны разной щепетильной товаръ, и изъ разныхъ деревень всякой хлѣбъ.",
120,,,"ЕЛАТМА, городъ Тамбовскаго Намѣстничества. Здѣсь бываютъ каждонедѣльно въ субботу торжки, на которые привозятъ съѣстные припасы и мѣлочные товары сторонніе люди и Елатомскіе обыватели.",
121,,,"ЕЛНА, городъ Смоленскаго Намѣстничества. Здѣсь бываетъ въ году двѣ ярмарки : первая на первой недѣлѣ великаго поста въ пятницу , вторая Іюля 20, въ день Пророка Иліи ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными товарами.",
122,,,"ЖИГАНСКЪ, городъ Иркутскаго Намѣстничества. Въ ономъ бываютъ ярмарки въ Августѣ , Сентябрѣ, Октябрѣ и Ноябрѣ мѣсяцахъ.",
123,,,"ЖИЗДРА, городъ Калужскаго Намѣстничества. Въ немъ бываетъ 25 Сентября годовая ярмарка, на которую пріѣзжаютъ изъ окольныхъ городовъ купцы съ шелковыми, бумажными и москотильными товарами.",
124,,,"ЗАДУШНОЕ , село Тульскаго Намѣстничества въ уѣздѣ города Новосиля. Въ ономъ селѣ бываетъ ярмарка въ день Сошествія Святаго Духа; купцы торгуютъ разными мѣлочными товарами.",
125,,,"ЗАМОШЬЕ, село Вологодскаго Намѣстничества. Здѣсь всенедѣльно по Воскреснымъ днямъ бываютъ торжки.",
126,,,"ЗАШИВЕРСКЪ, городъ того же Намѣстничества. Здѣсь бываютъ ярмарки въ Декабрѣ и Генварѣ мѣсяцахъ.",
127,,,"ЗЕМЛЯНСКЪ , городъ Воронежскаго Намѣстничества. Въ уѣздѣ сего города бываютъ ярмарки въ году въ трехъ селахъ; на оныя пріѣзжаютъ разныхъ городовъ Россійскіе купцы съ мѣлкимъ товаромъ.",
128,,,"ЗМѢТНЕВЪ, село Новогородскаго - Сѣверскаго Намѣстничества въ Сосницкомъ уѣздѣ. Обыватели онаго имѣютъ изрядной промыслъ бобрами , выдрами и рыбною въ Деснѣ ловлею.",
129,,,"ЗОЛОТОНОША , городъ Кіевскаго Намѣстничества. Въ немъ бываетъ въ году четыре ярмарки: первая въ Ѳомину недѣлю , вторая въ день Сошествія Свитаго Духа, третія въ день Рождества Богородицы , четвертая Декабря 6. Купцы пріѣзжаютъ на оныя изъ близъ лежащихъ городовъ съ красными нрамными и прочими товарами , стеклянною и деревянною посудою и мѣлкою изъ Донскихъ станицъ рыбою; жители продаютъ рогатой скотъ, лошадей , хлѣбъ , смолу, горя-чее вино и прочее; привозятъ также сюда для лродажи жителямъ Крымскую соль.",
130,,,"ИСА, село въ Саратовскомъ Намѣстничествѣ и уѣзды. Въ ономъ, сверхъ еженедѣльнаго торгу; бываетъ ярмарка Августа 1 дня, купцы на оную товары привозятъ шелковые и прочіе мѣлочные.",
131,,,"КАЛИБЕРДА, или КЕЛЕБЕРДА, мѣстечко Екатеринославскаго Намѣстничества. Въ ономъ бываютъ въ году три ярмарки.",
132,,,"КАЛИНКИНО, село Тамбовскаго Намѣстничества около слободы Доброй. Бываетъ здѣсь въ году ярмарка Іюля 20, на которую пріѣзжаютъ купцы съ разными мѣлочными товарами.",
133,,,"КАМЫШНЯ, или КОМЫШНЯ , мѣстечко Кіевскаго Настничества въ Миргородскомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки: первая въ недѣлю Ваій , вторая въ десятую послѣ Свѣтлаго Воскресенія пятницу , третія 26 Октября , въ день Св. Димитрія. На оныхъ торгуютъ рогатымъ скотомъ и лошадьми, а на еженедѣльныхъ въ понедѣльникъ и пятницу торгахъ торгуютъ пріѣзжіе изъ окольныхъ мѣстъ хлѣбомъ и съѣстными припасами.",
134,,,"КЕСОВА ГОРА, село того же Намѣстничества и уѣзду. Здѣсь бываетъ на 24 число Іюня ярмарка, на которую отъ уѣздныхъ обывателей привозится всякой хлѣбъ и прочіе сырейные и съѣстные товары ; а изъ прочихъ городовъ обыватели пріѣзжаютъ сюда съ мѣлочными товарами.",
135,,,"КИМРЫ, село того же Намѣстничества въ Кашинскомъ уѣздѣ. Здѣсь бываетъ по вся недѣли торгъ въ понедѣльникъ ; товары привозятъ изъ уѣзду холсты льняные разные , да изъ городовъ Ярославля , Переславля Залѣснаго и Углича мѣлочные всякіе небогатые товары.",
136,,,"КИСТЕРЪ , село Новогородскаго - Сѣверскаго Намѣстничества въ Стародубовскомъ уѣздѣ. Въ ономъ бываютъ каждонедѣльные торжки, на которые съѣзжаются окольные жители , и торгуютъ мѣлочными товарами.",
137,,,"КОВРОВЪ, городъ Владимерскаго Намѣстничества. Здѣсь бываетъ годовая ярмарка 25 Декабря. Пріѣзжаютъ на оную купцы изъ разныхъ городовъ съ мѣлочными товарами.",
138,,,"КОЗЕЛЕЦЪ, городъ Кіевскаго Намѣстничества. Въ ономъ бываетъ въ году сверхъ ежененѣльныхъ съѣздовъ пять ярмарокъ , на которыя съѣзжается купечество изъ ближнихъ Малороссійскихъ городовъ съ лавочными мѣлочными товарамиизъ Нѣжина и мѣстечка Барышевки ; привозятъ сукна , такожь торгуютъ горячимъ виномъ , дегтемъ, рыбою, солью, разнымъ хлѣбомъ и скотомъ ; а на недѣльные съѣзды пріѣзжаетъ крестьянство съ хлѣбомъ и прочими. крестьянскими товарами.",
139,,,"КОРСУНЬ, городъ Синбирскаго Намѣстничества. Здѣсь бываетъ годовая ярмарка, называемая Троицкая; начинается со вторника послѣдней недѣли мясоѣда, и продолжается до понедѣльника первой недѣли Петрова поста. Пріѣзжаютъ на оную изъ разныхъ Росссійскихъ городовъ купцы и Армяне, торгуютъ привозными разными шелковыми, бумажными и прочими товарами , и пригоняютъ разныхъ чиновъ люди и крестьяне знатное число лошадей Калмыцкихъ и Рускихъ, и отъ издѣлья деревенскаго крестьянскаго тамошнихъ Корсунскихъ и прочихъ обывателей.",
140,,,"КОТЕЛЬВА , слобода Харьковскаго Намѣстничества въ уѣздѣ города Ахтырки. Здѣсь бываютъ четыре ярмарки : первая Генваря 1, вторая Марша 25, третія о Тройцынѣ днѣ, четвертая Сентября 8. Купцы пріѣзжаютъ изъ разныхъ Россійскихъ городовъ , привозятъ парчи, шелковые товары, позументы , сѣтки , серебро въ посудѣ и прочее; торгуютъ также скотомъ и лошадьми.",
141,,,"КОТЕЛЬНИЧЬ, городъ Вятскаго Намѣстничества. Въ семъ городѣ бываетъ одна въ году ярмарка.",
142,,,"КОЧЕЛАЕВО , село Пензенскаго Намѣстничества въ Наровчатовскомъ уѣздѣ. Здѣсь бываетъ въ году одна ярмарка въ Іюнѣ мѣсяцѣ въ десятую пятницу въ разныхъ числахъ , но по большей части на оной бываютъ крестьяне.",
143,,,"КРАПИВНА , или КРОПИВНА , городъ того же Намѣстничества. Въ самомъ городѣ бываютъ двѣ годовыя ярмарки: первая въ день Сошествія Святаго Духа, вторая Іюля 1 дня; а въ уѣздѣ онаго одна; обыкновенныхъ торговъ въ городѣ въ каждой недѣлѣ по два.",
144,,,"КРАПИВНА, или КРОПИВНА , мѣстечко Кіевскаго Намѣстничества въ Переяславскомъ уѣздѣ. Здѣсь бываетъ въ году двѣ ярмарки: первая въ день Пророка Иліи , вторая въ день Покрова Богородицы, кромѣ обыкновенныхъ торговъ. Купцы пріѣзжаютъ на оныя изъ близъ лежащихъ городовъ съ красными крамными и прочими товарами , съ стеклянною и деревянною посудою , съ мѣлкою изъ Донскихъ станицъ рыбою; жители продаютъ рогатой скотъ, дашадей, хлѣбъ, смолу, горячее вино и прочее; привозятъ также сюда для продажи жителямъ Крымскую соль.",
145,,,"КРАСНОБОРСКЪ , городъ Вологодскаго Намѣстничества. Въ семъ городѣ бываетъ небольшая ярмарка ; пріѣзжая пъ купцы изъ разныхъ Россійскихъ городовъ съ мълочными товарами.",
146,,,"КРАСНОКУТСКЪ, городъ Харьковскаго Намѣстничества. Здѣсь бываетъ въ году четыре ярмарки: первая въ постъ о Крестопоклонной недѣлѣ , вторая Апрѣля 23, третія Іюня 29, четвертая Ноября 21; пріѣзжаютъ на оныя купцы изъ разныхъ Россійскихъ городовъ; привозятъ шелковые и прочіе товары , позументы, серебро въ посудѣ и прочее; торгуютъ тутъ же скотомъ и лошадьми.",
147,,,"КРАСНОПОЛЬЕ , слобода Харьковскаго Намѣстничества въ уѣздѣ города Мирополья. Здѣсь бываютъ ярмарки , первая Маія 9, вторая Августа 6, третія Ноября 8 ; пріѣзжаютъ на оныя купцы изъ близъ лежащихъ городовъ съ мѣлочными товарами , а покупаютъ скотъ, лошадей и прочее.",
148,,,"КРОМЫ, городъ Орловскаго Намѣстничества. Здѣсь бываютъ въ году двѣ ярмарки, послѣ Святыя Пасхи на десятой и одинадцатой недѣлѣ, и торговля состоитъ привозимыми ивъ городовъ купечествомъ разными шелковыми и другими мѣлкими товарами ; годевые и уѣздные жители торгу ютъ своими собственными тутошняго мѣста произрастѣнія ми и произведенными рукодѣ ліемъ вещьми, малымъ числомъ пенькою и холстомъ.",
149,,,"КРЫЛОВЪ, слобода Екатеринославскаго НамѣстничестваВъ оной бываетъ въ году девять ярмарокъ.",
150,,,"КУБЕНСКОЕ, село Вологодскаго Намѣстничества и уѣзду. Здѣсь бываетъ торгъ еженедѣль ной по че цвергамъ.",
151,,,"КУЗНЕЦКЪ, городъ Саратовскаго Намѣстничества. Здѣсь сверхъ еженедѣльнаго торгу бываетъ ярмарочной съѣздъ въ десятую пятницу по Пасхѣ.",
152,,,"КУРЕНЬКИ, мѣстечко Кіевскаго Намѣстничества въ Лубенскомъ уѣздѣ. Здѣсь быва-етъ въ годъ три ярмарки: первая Февраля 2, другая Іюня 29, третія Октября 26 чиселъ.",
153,,,"ЛАЗОВИЦА, мѣстечко Могилевскаго Намѣстничества въ Климовицкомъ уѣздѣ. Въ ономъ бываетъ одна ярмарка въ году.",
154,,,"ЛАИШЕВЪ, городъ Казанскаго Намѣстничества. Въономъ бываетъ ярмарка Маія съ 6 Іюня по 1 число, для пріѣзжающихъ на барочныхъ караванахъ работныхъ людей.",
155,,,"ЛАЛЬСКЪ, городъ Вологодскаго Намѣстничества. Здѣсь бываетъ въ годъ четыре ярмарки : первая Декабря 6, вторая Генваря 18 , третія Марта 25, четвертая Іюня въ первыхъ числахъ ; на оныя привозятъ устюжскіе купцы разные мѣлочные товары; а крестьянство сукна сермяжныя, холсты, овчины , шубы и прочіе всякіе мѣлочные и съѣстные товары.",
156,,,"ЛИПЕЦКЪ, городъ Тамбовскаго Намѣстничества. Въ немъ бываютъ въ году три ярмарки : первая Апрѣля 21, вторая Іюня 23, третія Августа 15 чиселъ. Пріѣзжаютъ на оныя изъ ближнихъ городовъ купцы, и торгуютъ дня по два разными товарами.",
157,,,"ЛИХВИНЪ , городъ Калужскаго Намѣстничества. Въ ономъ бываетъ одна годовая ярмарка.",
158,,,"ЛОХВИЦА , городъ Черниговскаго Намѣстничества. Здѣсь бываетъ въ году четыре ярмарки : первая въ день Преполовенія , вторая въ день Великомученика Прокопія, третія въ день Великомученика Евстафія, четвертая на всеѣдной недѣлѣ; пріѣзжаютъ на оныя купцы изъ Россійскихъ и Малороссійскихъ городовъ съ краснымъ товаромъ, съ кожами, желѣзомъ и прочимъ.",
159,,,"ЛЮБЕЧЬ, мѣстечко Черниговскаго Намѣстничества. Въ ономъ бываетъ въ годъ двѣ ярмарки : первая Декабря 6, въ день Святителя Николая, вторая въ день Вознесенія Господня. Торги ва оныхъ и въ ежедневные съѣзды отправляются привозными изъ окольныхъ мѣстъ мѣлкими крамными вещами , хлѣбомъ, глиняною посудою , кожами , колесами к другими крестьянскими товарами,",
160,,,"ЛЮТЕНКА, мѣстечко Черниговскаго Намѣстничества въ Гадяцкомъ уѣздѣ. Въ ономъ бываетъ въ годъ три ярмарки: первая въ день Преполовенія , вторая Іюля 20, въ день Св. пророка Иліи, третія 1 Ноября, въ день Космы и Даміана. На оныхъ околичные жители торгуютъ хлѣбомъ, разнымъ скотомъ и съѣстными припасами, какъ - то рыбою и солью.",
161,,,"МАКАРЬЕВЪ, городъ Нижегородскаго Намѣстничества. Въ немъ бываетъ при тамошнемъ монастырѣ повсягодно славная ярмарка , начинающаяся со дня С. Апостоловъ Петра и Павла, и продолжающаяся три и четыре недѣли. На оную съѣзжается великое множество купцовъ изъ всѣхъ странъ Россіи и Сибири , также съ Герсидскихъ , Турецкихъ и Польскихъ границъ.",
162,,,"ВЫТЕГРА, городъ Олонецкаго Намѣстничества. Здѣсь бываютъ въ году четыре ярмарки : первая Февраля 2, вторая Августа 16, третія Октября 1, четвертая 9 Маія. Сіи ярмарки учреждены бывшимъ Господиномъ НовогороДскимъ Губернаторомъ Сиверсомъ.",
163,,,"ЛЕБЕДИНЪ, городъ Харьковскаго Намѣстничества. Въ ономъ городѣ бываютъ въ году три ярмарки: первая Генваря 1, въ день Обрѣзанія , вторая по Пасхѣ въ десятую пятницу, тяетія Сентября 20, въ день Великомученика Евстафія. Купцы на оныя пріѣзжаютъ изъ близъ лежащихъ городовъ съ лавочными товарами и съ горячимъ виномъ.",
164,,,"САПОЖОКЪ, съ 1778 году городъ Рязанскаго Намѣстничества . Здѣсь бываетъ ярмарка о десятой пятницѣ , Іюля 8 ; товары привозятъ на оную изъ разныхъ городовъ и уѣздовъ купцы, шелкъ, бумагу красную и писную , кресты , перстяни иглы, булавки, полотно, льняное и конопляное масло и прочее тому подовное; а обыватели торгуютъ деревянною посудою, всякимъ хлъбомЬ и прочимъ.",
165,,,"ДЕРПТЪ , городъ Рижскаго Намѣстничества. Въ ономъ бываютъ въ году четыре ярмарки : первая на другой день Богоявленія , на которую пріѣзжаютъ множество купцовъ изъ Риги и Ревеля съ шёлковыми и прочими товарами , и торгуютъ три недѣли ; при томъ съѣзжаются изъ уѣзда много и Дворянства; вторая продолжается только три дни, а начинается 29 Іюня, то есть въ день Св. Апостоловъ Петра и Павла; на оную привозятъ соленую и сушеную рыбу съ Чудскаго озера Россійскіе рыбаки ; также иногда и изъ ближнихъ Россійскихъ городовъ привозятъ купцы всякіе желѣзные товары и горшки глиняныя; третія бываетъ 8 Сентября ; на оную съѣзжаются крестьяне съ коровьимъ масломъ, сѣномъ к хлѣбомъ; четвертая бываетъ 19 Сентября; на оной торгуютъ скотиною , лошадьми и всякимъ хлѣбомъ.",
166,,,"КОРОТОЯКЪ, городъ Воронежскаго Намѣстничества. Въ семъ городѣ бываетъ въ году одна ярмарка Іюля 8 числа, въ день Казанскія Богородицы; привозятъ на оную малое чи-сло шелковыхъ и бумажныхъ товаровъ, а болѣе крестьянское издѣлье.",
167,,,"БОГОРОДСКЪ, городъ Московской Губерніи. Въ немъ бываетъ двѣ въ году ярмарки: первая Маія 9, вторая Декабря 6, на которыя той округи крестьяне привозятъ разные съѣстные припасы, а купцы мѣлочные товары.",
168,,,"ВОСКРЕСЕНСКЪ, городъ Московской Губерніи. Въ немъ, кромѣ еженедѣльныхъ по середамъ и субботамъ торговыхъ дней, бываетъ въ Вознесены евъ день годовая ярмарка.",
